t,Zt
1,0.656
2,1.057
3,-1.75
4,-0.489
5,-2.861
6,-2.227
7,-2.014
8,-3.773
9,-3.333
10,-0.626
11,-0.731
12,-0.549
13,-1.801
14,-0.538
15,-0.292
16,-0.444
17,1.648
18,2.183
19,-0.253
20,-1.069
21,-2.092
22,-1.993
23,-1.187
24,1.394
25,3.098
26,4.853
27,4.649
28,4.821
29,4.441
30,5.496
31,3.892
32,4.29
33,3.746
34,3.723
35,1.111
36,3.48
37,2.144
38,1.252
39,-0.006
40,0.412
41,1.958
42,1.883
43,0.344
44,-0.708
45,-1.852
46,-2.318
47,-2.3
48,-0.937
49,-1.799
50,-1.698
